,ref,main_type,fac_scen,res_scen,total_time,num_trips,total_distance,annual_dist,ferry_costs,num_coll_days,annual_ferry_cost,total_cost,res_biweekly_kg,biogas_energy,res_biweekly,res_annual,cost_per_tonne,type,la,veh_type
54,distillery_d_1,food_waste,industrial_group_ref,high,3008.0,1.0,27.714367,720.573542,0.0,1.0,0.0,900.7169275,66.66666666666667,1.9644592,0.06666666666666667,1.7333333333333334,519.6443812499999,solid,Argyll and Bute,food
55,distillery_d_13,food_waste,industrial_group_ref,high,3460.0,1.0,14.855140000000002,386.23364000000004,0.0,1.0,0.0,482.79205,190.0,5.598708720000001,0.19,4.94,97.73118421052631,solid,Argyll and Bute,food
56,distillery_d_10,food_waste,industrial_group_ref,high,6096.0,1.0,44.24028599999999,1150.2474359999997,0.0,1.0,0.0,1437.8092949999996,246.66666666666666,7.170069775010053,0.24666666666666665,6.413333333333333,224.19063851351345,solid,Argyll and Bute,food
57,distillery_d_17,food_waste,industrial_group_ref,high,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,food
58,distillery_d_0,food_waste,industrial_group_ref,high,464.0,1.0,1.1177110000000001,29.060486000000004,0.0,1.0,0.0,36.325607500000004,30.0,0.8840066400000003,0.03,0.78,46.57129166666667,solid,Argyll and Bute,food
59,distillery_d_7,food_waste,industrial_group_ref,high,430.0,1.0,4.360316000000001,113.36821600000002,0.0,1.0,0.0,141.71027000000004,16.666666666666668,0.4911148000000001,0.016666666666666666,0.43333333333333335,327.0237000000001,solid,Argyll and Bute,food
60,distillery_d_5,land_farm,industrial_group_ref,high,27022.0,1.0,87.78636900000001,2282.4455940000003,0.0,1.0,0.0,2853.0569925000004,429.0,18.456745483151195,0.429,11.154,255.7877884615385,solid,Argyll and Bute,animal
61,distillery_d_18,land_farm,industrial_group_ref,high,28139.0,1.0,154.39653199999998,4014.3098319999995,0.0,1.0,0.0,5017.88729,67.0,2.6627403967066092,0.067,1.742,2880.5323134328355,solid,Argyll and Bute,animal
62,distillery_d_6,land_farm,industrial_group_ref,high,15909.0,1.0,63.327104999999996,1646.5047299999999,0.0,1.0,0.0,2058.1309125,391.0,16.95663865181976,0.391,10.166,202.45238171355496,solid,Argyll and Bute,animal
63,cafe_140518,land_farm,industrial_group_ref,high,16571.0,1.0,53.719835999999994,1396.7157359999999,0.0,1.0,0.0,1745.89467,523.6666666666666,22.57931371123182,0.5236666666666666,13.615333333333332,128.23003500954806,solid,Argyll and Bute,animal
64,distillery_d_4,land_farm,industrial_group_ref,high,22929.0,1.0,85.184074,2214.785924,0.0,1.0,0.0,2768.4824049999997,486.6666666666667,21.08406335189927,0.4866666666666667,12.653333333333334,218.79471061643832,solid,Argyll and Bute,animal
65,distillery_d_20,land_farm,industrial_group_ref,high,74508.0,3.0,333.024416,8658.634816,0.0,3.0,0.0,10823.29352,2150.6666666666665,92.92181105862609,2.1506666666666665,55.91733333333333,193.55882827030376,solid,Argyll and Bute,animal
66,distillery_d_1,land_farm,industrial_group_ref,high,12062.0,1.0,45.595894,1185.493244,0.0,1.0,0.0,1481.866555,219.33333333333334,9.453736258060216,0.21933333333333335,5.702666666666667,259.85501899696044,solid,Argyll and Bute,animal
67,distillery_d_13,land_farm,industrial_group_ref,high,2938.0,1.0,9.497699,246.940174,0.0,1.0,0.0,308.67521750000003,136.33333333333334,5.8909921922168484,0.13633333333333333,3.5446666666666666,87.08159229828851,solid,Argyll and Bute,animal
68,distillery_d_10,land_farm,industrial_group_ref,high,14433.0,1.0,53.30374499999999,1385.8973699999997,0.0,1.0,0.0,1732.3717124999996,325.3333333333333,14.067916175339777,0.3253333333333333,8.458666666666666,204.80434810450816,solid,Argyll and Bute,animal
69,distillery_d_17,land_farm,industrial_group_ref,high,,,,,,,,,18.666666666666668,0.798733850240565,0.018666666666666668,0.4853333333333334,,solid,Argyll and Bute,animal
70,distillery_d_0,land_farm,industrial_group_ref,high,,,,,,,,,18.666666666666668,0.7930822233307805,0.018666666666666668,0.4853333333333334,,solid,Argyll and Bute,animal
71,distillery_d_7,land_farm,industrial_group_ref,high,,,,,,,,,6.333333333333333,0.2643607411102602,0.006333333333333333,0.16466666666666666,,solid,Argyll and Bute,animal
72,distillery_d_5,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
73,distillery_d_18,brewery,industrial_group_ref,mean,,,,,,,,,26.666666666666668,1.048507952268785,0.02666666666666667,0.6933333333333334,,liquid,Argyll and Bute,liquid
74,distillery_d_6,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
75,cafe_140518,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
76,distillery_d_4,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
77,distillery_d_20,brewery,industrial_group_ref,mean,,,,,,,,,146.0,5.718427106232556,0.146,3.796,,liquid,Argyll and Bute,liquid
78,distillery_d_1,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
79,distillery_d_13,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
80,distillery_d_10,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
81,distillery_d_17,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
82,distillery_d_0,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
83,distillery_d_7,brewery,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,liquid,Argyll and Bute,liquid
84,distillery_d_5,distillery,industrial_group_ref,mean,,,,,,,,,34886.666666666664,785.3789734060998,34.88666666666666,907.0533333333333,,liquid,Argyll and Bute,liquid
85,distillery_d_18,distillery,industrial_group_ref,mean,,,,,,,,,66866.33333333333,1505.3096990283582,66.86633333333333,1738.5246666666667,,liquid,Argyll and Bute,liquid
86,distillery_d_6,distillery,industrial_group_ref,mean,,,,,,,,,75588.0,1701.6544423798832,75.588,1965.2879999999998,,liquid,Argyll and Bute,liquid
87,cafe_140518,distillery,industrial_group_ref,mean,,,,,,,,,581.3333333333334,13.089649556768334,0.5813333333333334,15.114666666666668,,liquid,Argyll and Bute,liquid
88,distillery_d_4,distillery,industrial_group_ref,mean,,,,,,,,,62505.333333333336,1407.137327352596,62.50533333333333,1625.1386666666667,,liquid,Argyll and Bute,liquid
89,distillery_d_20,distillery,industrial_group_ref,mean,,,,,,,,,10320.666666666666,232.34127963263782,10.320666666666666,268.33733333333333,,liquid,Argyll and Bute,liquid
90,distillery_d_1,distillery,industrial_group_ref,mean,,,,,,,,,39247.666666666664,883.5513450818622,39.24766666666667,1020.4393333333334,,liquid,Argyll and Bute,liquid
91,distillery_d_13,distillery,industrial_group_ref,mean,,,,,,,,,50876.333333333336,1145.3443362172288,50.876333333333335,1322.7846666666667,,liquid,Argyll and Bute,liquid
92,distillery_d_10,distillery,industrial_group_ref,mean,,,,,,,,,187516.0,4221.411982057787,187.516,4875.416,,liquid,Argyll and Bute,liquid
93,distillery_d_17,distillery,industrial_group_ref,mean,,,,,,,,,25438.0,572.6721681086144,25.438,661.3879999999999,,liquid,Argyll and Bute,liquid
94,distillery_d_0,distillery,industrial_group_ref,mean,,,,,,,,,71663.0,1613.2993078716963,71.663,1863.2379999999998,,liquid,Argyll and Bute,liquid
95,distillery_d_7,distillery,industrial_group_ref,mean,,,,,,,,,98206.0,2210.841810138171,98.206,2553.356,,liquid,Argyll and Bute,liquid
96,distillery_d_5,fish_farm,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
97,distillery_d_18,fish_farm,industrial_group_ref,mean,,,,,,,,,0.0,0.0,0.0,0.0,,solid,Argyll and Bute,animal
